xi,yi,zi,Syy,Vx,Vy,aid,step
32,30,11,-4.48242,-5.9002,4.53497,[557515],1
32,43,11,-32.8066,-1.89986,-7.06595,[741873],1
33,17,11,1.8675,5.3936,-4.93525,[654107],1
33,20,11,35.4038,-5.51461,-4.17985,[231205],1
33,37,11,22.4989,-2.93925,5.75735,[353503],1
33,38,11,96.4343,-0.421325,5.64871,[39832],1
34,19,11,8.375354999999999,-0.08216649999999999,6.140585,[586914 616060],1
34,24,11,28.9586,6.18959,-5.1297,[426411],1
34,29,11,-42.11108,-0.8189240000000001,6.4483881,[ 83922 557498],1
34,34,11,10.248375,1.16473,-5.58643,[782189 782187 782188 782190],1
34,47,11,-2.83864,3.90738,4.31862,[498068],1
34,48,11,-62.0821,2.26898,-4.11387,[694173],1
34,50,11,10.8258,-1.83445,4.15849,[914326],1
35,8,11,42.088,-3.22416,-3.98295,[805278],1
35,54,11,21.4089,-6.57688,-6.56702,[14252],1
